362.44	1.95576
363.637	1.95575
364.833	1.95574
366.029	1.95573
367.225	1.95572
368.421	1.95571
369.617	1.95571
370.814	1.9557
372.01	1.95569
373.206	1.95568
374.402	1.95567
375.598	1.95566
376.794	1.95565
377.991	1.95565
379.187	1.95564
380.383	1.95563
381.579	1.95562
382.775	1.95561
383.971	1.9556
385.168	1.9556
386.364	1.95559
387.56	1.95558
388.756	1.95557
389.952	1.95556
391.148	1.95556
392.345	1.95555
393.541	1.95554
394.737	1.95553
395.933	1.95553
397.129	1.95552
398.325	1.95551
399.522	1.9555
400.718	1.9555
401.914	1.95549
403.11	1.95548
404.306	1.95547
405.503	1.95547
406.699	1.95546
407.895	1.95545
409.091	1.95544
410.287	1.95544
411.483	1.95543
412.68	1.95542
413.876	1.95542
415.072	1.95541
416.268	1.9554
417.464	1.9554
418.66	1.95539
419.857	1.95538
421.053	1.95538
422.249	1.95537
423.445	1.95536
424.641	1.95536
425.837	1.95535
427.034	1.95534
428.23	1.95534
429.426	1.95533
430.622	1.95532
431.818	1.95532
433.014	1.95531
434.211	1.9553
435.407	1.9553
436.603	1.95529
437.799	1.95528
438.995	1.95528
440.191	1.95527
441.388	1.95527
442.584	1.95526
443.78	1.95525
444.976	1.95525
446.172	1.95524
447.368	1.95524
448.565	1.95523
449.761	1.95522
450.957	1.95522
452.153	1.95521
453.349	1.95521
454.546	1.9552
455.742	1.95519
456.938	1.95519
458.134	1.95518
459.33	1.95518
460.526	1.95517
461.723	1.95517
462.919	1.95516
464.115	1.95515
465.311	1.95515
466.507	1.95514
467.703	1.95514
468.9	1.95513
470.096	1.95513
471.292	1.95512
472.488	1.95512
473.684	1.95511
474.88	1.95511
476.077	1.9551
477.273	1.9551
478.469	1.95509
479.665	1.95508
480.861	1.95508
482.057	1.95507
483.254	1.95507
484.45	1.95506
485.646	1.95506
486.842	1.95505
488.038	1.95505
489.234	1.95504
490.431	1.95504
491.627	1.95503
492.823	1.95503
494.019	1.95502
495.215	1.95502
496.411	1.95501
497.608	1.95501
498.804	1.955
500	1.955
